b30_t10,b30_t3,lp_t10,lp_t3,wLEX_t10,wLEX_t3,wSMA_t3,wSMA_t10,5o_t10,5o_t3
80,52,74,44,84,55,55,84,84,51
82,53,71,43,83,54,55,84,125,70
81,58,75,45,83,55,55,84,125,69
81,50,76,47,82,55,55,84,76,54
79,53,74,46,84,55,55,83,126,69
80,52,71,41,83,54,53,83,125,66
83,55,71,45,83,55,56,85,85,53
79,54,74,47,83,54,56,85,124,65
85,56,70,46,84,56,54,83,76,49
81,51,71,43,83,54,56,85,124,65
83,53,71,43,83,55,54,83,127,66
87,53,73,43,82,55,54,84,82,50
85,54,69,41,83,55,55,83,126,68
84,51,75,43,83,54,55,84,80,51
82,52,72,41,83,54,56,84,126,69
85,54,73,44,82,54,55,83,123,68
78,53,73,43,84,55,57,86,83,54
82,54,72,45,84,56,56,84,126,68
84,54,73,45,86,57,56,84,79,53
85,55,73,42,82,53,55,84,124,65
79,51,71,42,81,53,54,84,82,53
79,50,72,46,84,54,55,85,124,65
80,52,71,42,86,57,56,84,129,68
80,51,74,41,82,54,56,84,78,55
83,58,72,45,84,55,55,85,125,65
81,50,71,44,82,54,53,83,124,67
83,56,69,44,82,54,57,86,80,52
81,55,75,47,82,54,57,85,123,66
81,54,76,48,82,53,55,85,125,66
80,58,71,40,83,55,56,85,79,53
83,54,75,43,82,55,56,83,125,71
77,52,71,43,83,54,54,83,80,55
80,54,72,43,81,50,56,84,124,68
77,54,72,46,84,55,55,84,82,52
82,52,75,41,82,54,56,84,126,67
78,53,75,46,83,55,55,84,123,70
85,55,71,44,82,54,55,83,81,53
77,51,69,41,84,57,54,82,123,71
81,50,75,43,83,54,55,83,125,69
82,54,74,47,82,55,56,84,78,55
81,54,71,46,82,53,57,86,82,55
83,56,69,42,84,57,55,85,126,68
82,54,72,43,82,54,55,83,125,70
82,56,74,45,83,57,53,83,79,52
82,53,75,43,83,55,55,83,126,71
82,51,73,43,82,53,55,83,124,67
81,51,70,44,84,56,54,83,83,56
77,51,78,44,83,54,55,84,123,66
84,55,68,44,84,55,56,85,80,52
78,48,73,45,84,55,57,86,123,69
82,55,73,45,83,55,54,83,83,51
79,53,69,44,84,55,55,84,126,71
82,54,73,44,82,53,55,85,125,69
83,59,69,45,83,54,56,85,81,56
75,48,70,42,83,55,53,82,126,70
76,51,68,43,82,54,55,83,81,51
82,51,71,44,83,55,54,83,127,66
80,53,72,46,83,54,55,84,122,69
84,54,73,44,82,53,53,82,83,51
83,58,73,44,82,54,54,83,127,68
87,54,76,44,83,54,54,83,81,57
84,57,75,41,80,52,53,81,123,67
79,53,76,45,81,52,56,84,125,66
78,55,73,46,81,53,53,82,79,51
85,53,75,41,82,53,54,83,123,70
79,53,72,39,83,54,56,85,121,70
83,53,74,44,81,53,56,85,82,53
79,54,68,40,82,53,54,82,123,67
80,53,75,45,82,54,56,83,127,69
77,52,71,45,82,54,56,85,81,52
80,54,72,46,81,54,54,83,125,70
83,57,71,43,80,52,53,80,127,65
83,53,72,43,82,53,55,85,85,56
74,50,72,41,81,55,54,82,121,70
81,50,75,43,81,52,55,82,77,56
80,52,73,46,85,56,54,84,125,65
86,57,75,44,81,53,55,85,81,50
84,49,73,46,83,56,54,83,125,72
83,54,73,46,83,56,54,83,83,53
85,54,72,45,82,54,53,82,124,71
80,54,72,45,82,53,54,83,79,54
83,56,71,44,82,55,53,81,125,69
82,49,72,41,86,54,54,83,81,52
80,56,72,43,84,55,54,83,124,70
76,53,72,45,82,54,55,82,83,61
74,51,75,46,80,52,53,80,123,67
80,52,68,43,84,56,55,84,80,53
79,51,76,43,81,54,56,85,125,65
81,48,71,43,82,55,57,85,79,48
83,53,73,40,81,54,55,83,83,53
87,57,71,43,82,54,56,83,80,53
83,55,68,44,81,54,56,84,80,54
83,54,71,44,82,54,52,82,124,68
80,54,72,48,82,54,53,84,125,65
78,53,73,43,81,53,54,82,83,55
79,54,69,42,81,55,54,84,122,68
84,50,72,43,83,53,54,83,127,68
81,53,78,47,81,52,55,84,84,56
82,54,68,42,81,54,54,83,78,48
82,50,73,45,84,56,54,83,83,54
77,51,75,47,81,55,54,82,87,49
83,59,72,44,85,55,55,81,125,66
81,56,76,43,83,55,56,83,78,49
79,52,75,44,84,54,55,82,80,48
83,52,75,45,81,53,55,82,125,67
83,56,74,46,83,54,53,83,76,53
82,56,76,48,81,55,54,82,124,68
87,56,74,45,82,53,53,81,80,48
88,55,77,44,80,55,54,82,127,70
80,57,74,45,81,52,51,81,125,70
83,54,76,44,82,53,52,81,81,51
85,51,73,43,82,54,52,83,78,51
80,53,76,45,83,55,55,84,124,70
79,51,72,43,83,54,53,81,77,52
81,52,75,44,84,54,53,83,79,55
84,57,75,44,83,55,53,82,82,52
81,55,77,44,81,53,54,85,84,53
84,51,75,45,83,54,52,82,81,52
84,55,74,47,82,54,56,85,125,72
86,58,72,46,82,52,55,82,84,53
84,57,80,44,80,51,54,80,80,54
82,55,75,43,82,54,51,84,122,72
86,53,76,42,82,54,55,83,126,68
85,57,75,48,79,51,56,82,80,54
87,57,75,44,80,56,53,81,123,67
83,56,77,42,81,53,54,83,81,54
86,52,72,45,80,57,54,82,124,66
84,56,75,46,80,53,54,83,124,68
81,53,76,45,82,53,56,84,85,52
81,55,76,45,80,51,53,82,125,70
88,57,80,48,78,51,55,83,85,51
79,56,76,48,81,52,53,82,125,69
81,56,78,46,83,53,56,84,124,74
81,54,74,44,81,51,55,82,81,57
84,53,74,48,79,52,56,82,123,67
81,53,73,43,81,53,53,80,126,69
87,56,76,43,79,54,55,83,84,56
83,51,78,44,84,55,55,84,123,73
81,52,76,45,82,53,52,82,82,51
83,56,73,46,85,55,56,86,127,70
81,54,76,46,79,51,53,84,127,72
82,54,75,46,82,54,54,82,80,52
82,58,73,44,79,52,57,83,122,67
79,51,71,46,80,52,55,82,85,50
82,56,73,43,82,53,53,80,125,69
84,56,72,45,82,53,54,81,124,68
80,52,75,44,80,52,54,82,80,55
81,55,77,45,81,52,54,81,126,69
82,52,76,45,79,52,54,78,79,54
83,53,76,42,83,55,52,80,125,69
79,52,78,44,79,54,54,85,82,53
83,56,76,43,81,51,55,83,126,67
79,55,74,46,83,57,53,83,82,55
82,54,73,46,80,52,51,81,122,68
85,53,71,44,79,52,53,81,79,57
84,54,74,47,81,55,57,83,124,65
78,52,77,44,78,51,49,81,83,52
84,54,76,44,80,51,56,84,123,70
84,57,74,44,82,54,54,81,80,51
79,54,77,43,80,52,54,79,126,68
82,52,74,45,78,49,53,83,123,66
83,52,72,44,82,53,51,81,82,54
85,55,80,48,83,54,50,81,124,66
87,52,77,47,78,52,54,81,82,58
79,56,74,43,80,53,53,81,126,70
84,55,72,46,79,52,53,80,86,54
78,54,73,43,81,54,53,83,88,55
87,56,75,43,80,53,50,79,124,68
83,56,75,48,83,55,55,80,79,54
81,58,72,42,82,53,51,78,125,65
82,56,71,44,78,51,54,83,81,52
81,56,75,45,83,55,55,84,83,49
84,56,73,44,80,50,57,81,124,66
83,54,74,42,81,54,50,79,88,57
85,56,74,44,84,53,51,81,123,68
79,51,72,45,80,52,55,85,81,50
85,51,79,47,83,55,51,79,84,51
83,56,77,47,83,54,53,82,123,66
84,56,73,44,83,56,54,79,83,54
82,57,73,46,81,53,52,80,125,70
78,55,74,45,80,53,55,83,82,54
81,55,73,46,78,50,54,82,83,50
82,56,73,45,82,54,53,82,127,68
81,51,77,45,83,56,53,83,122,70
79,54,72,46,78,53,52,78,81,51
81,54,72,44,82,53,56,84,122,69
82,56,72,45,82,54,51,82,77,53
